"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="3711","日月光投控","110","+0.5","+0.46","2019","19'08/13","2.5","68.9","66.4","+43.6","+65.7","+41.1","2","","0","","","","","",""
="3712","永崴投控","36.2","-0.15","-0.41","2019","19'08/05","2.5","23.8","21.3","+14.9","+70","+12.4","212","","0","","","","","",""
="3714","富采","49.05","-0.35","-0.71","","","","","","","","","","","","","","","","",""
="3715","定穎投控","30.6","+0.35","+1.16","","","","","","","","","","","","","","","","",""
="4104","佳醫","95.4","-3.5","-3.54","2019","19'07/25","3","54.7","51.7","+43.7","+84.5","+40.7","66","","0","","","","","",""
="4106","雃博","31.85","-0.8","-2.45","2019","19'07/25","0.65","27.3","26.65","+5.2","+19.5","+4.55","83","","0","","","","","",""
="4108","懷特","23.25","-0.75","-3.12","2019","","0","","","","","","","","0","","","","","",""
="4119","旭富","104","-3.5","-3.26","2019","19'07/23","4.2","107.5","103.5","+0.5","+0.48","-3.5","44","","0","","","","","",""
="4133","亞諾法","34.25","-0.15","-0.44","2019","19'07/11","0.6","28.5","27.9","+6.35","+22.8","+5.75","1","","0","","","","","",""
="4137","麗豐-KY","191","-4.5","-2.3","2019","19'07/25","12","275.5","263.5","-72.5","-27.5","-84.5","","","0","","","","","",""
="4142","國光生","36.1","+0.05","+0.14","2019","","0","","","","","","","","0","","","","","",""
="4148","全宇生技-KY","56.6","-0.1","-0.18","2019","19'07/04","2.4","52","49.6","+7","+14.1","+4.6","5","","0","","","","","",""
="4155","訊映","35.5","-0.5","-1.39","2019","19'06/27","2.25","28.9","26.65","+8.85","+33.2","+6.6","10","","0","","","","","",""
="4164","承業醫","64.8","-0.9","-1.37","2019","19'07/09","1.79","45","43.2","+21.6","+50","+19.8","5","","0","","","","","",""
="4190","佐登-KY","80.4","-2.4","-2.9","2019","19'07/23","4.5","116","111.5","-31.1","-27.9","-35.6","98","","0","","","","","",""
="4306","炎洲","15.45","-0.2","-1.28","2019","19'07/11","0.49","13.15","12.65","+2.8","+22.1","+2.3","268","19'07/11","0","","","","","","268"
="4414","如興","4.57","-0.34","-6.92","2019","","0","","","","","","","","0","","","","","",""
="4426","利勤","21.85","-0.05","-0.23","2019","19'09/05","0.36","61.3","56.2","-34.35","-61.1","-39.45","","19'09/05","0.84","61.3","56.2","-34.35","-61.1","-39.45",""
="4438","廣越","127","-1","-0.78","2019","19'09/03","6","159","153","-26","-17","-32","","","0","","","","","",""
="4439","冠星-KY","152.5","+6.5","+4.45","2019","","0","","","","","","","","0","","","","","",""
="4440","宜新實業","30.1","-0.2","-0.66","2019","","3","","","","","","","","0","","","","","",""
="4526","東台","21.65","+0.3","+1.41","2019","19'07/25","0.3","18.3","18","+3.65","+20.3","+3.35","2","","0","","","","","",""
="4532","瑞智","24.85","-0.3","-1.19","2019","19'07/02","1.2","26.15","24.95","-0.1","-0.4","-1.3","933","","0","","","","","",""
="4536","拓凱","184.5","+1.5","+0.82","2019","19'07/23","5.5","180","174.5","+10","+5.73","+4.5","267","","0","","","","","",""
="4540","全球傳動","39.35","-0.5","-1.25","2019","19'07/25","3.6","74","70.4","-31.05","-44.1","-34.65","2","","0","","","","","",""
="4545","銘鈺","30.5","+0.15","+0.49","2019","19'07/04","0.35","22.3","21.95","+8.55","+39","+8.2","1","","0","","","","","",""
="4551","智伸科","146.5","-2","-1.35","2019","19'07/26","3.1","125.5","122.5","+24","+19.6","+21","9","","0","","","","","",""
="4552","力達-KY","32.5","-0.1","-0.31","2019","19'09/25","2.3","51.8","42.65","-10.15","-23.8","-19.3","874","19'09/25","1.6","51.8","42.65","-10.15","-23.8","-19.3","874"
="4555","氣立","54.3","-0.2","-0.37","2019","19'07/23","2","55.8","53.8","+0.5","+0.93","-1.5","7","","0","","","","","",""
="4557","永新-KY","99.5","-1","-1","2019","19'07/03","5","76.5","71.5","+28","+39.2","+23","599","19'07/03","0","","","","","","599"
="4560","強信-KY","39.05","-0.1","-0.26","2019","19'07/09","3.47","55.6","52.1","-13.05","-25","-16.55","45","","0","","","","","",""
